"V1"	"V2"	"scs.cpart"
"A1_196.C5F2"	-3.62761965463551	4.56000435952489	1
"A1_274.C5F2"	-5.03463631964166	3.24632721599927	1
"A1_107.C5C3"	-3.79304434355476	6.27736623961442	1
"A1_113.C5C3"	-10.3399047537042	-6.33652654814718	2
"A1_55.C5C3"	11.0320023604582	-7.17702264576764	3
"A1_194.C5F2"	-37.5916511086575	3.48862658925001	4
"A1_254.C5F2"	-13.454054771359	-3.47364058120572	2
"A1_324.C5F2"	-3.31001909672887	7.0408700610758	1
"A1_116.C5C3"	-36.1979618739963	1.16006131204139	4
"A1_15.C5C3"	-10.9516739156683	-16.789409241866	5
"A1_290.C5F2"	-34.6294287477263	2.57185028454175	12
"A1_214.C5F2"	19.9963240126112	9.06092299681112	6
"A1_109.C5C3"	-10.3513521157117	-5.40159845606633	2
"A1_59.C5C3"	-36.2323682564974	0.927676477054554	4
"A1_355.C5F2"	-4.07035546011379	3.20660610890881	1
"A1_316.C5F2"	-9.69289211139125	-21.1652524835968	5
"A1_157.C5F2"	-4.75798415736108	13.8377100332055	11
"A1_343.C5F2"	14.562065015733	3.97786274817432	7
"A1_29.C5C3"	-7.86957619486816	20.701327753917	8
"A1_298.C5F2"	14.7559357854966	14.6771201913957	7
"A1_70.C5C3"	-9.95131086675144	-8.08754969283456	2
"A1_285.C5F2"	-34.4483810896991	3.88555832023245	4
"A1_106.C5C3"	16.7674134960564	0.256706802709528	3
"A1_276.C5F2"	-9.20095699387637	6.0206531358217	1
"A1_262.C5F2"	-36.8231822423286	4.22038008861841	4
"A1_165.C5F2"	17.1077170482025	7.20310704153868	7
"A1_317.C5F2"	10.3119087485474	5.82408793417752	7
"A1_133.C5C3"	-7.47098493492222	3.19428165927265	1
"A1_292.C5F2"	-7.86672992696162	1.11689728598661	1
"A1_204.C5F2"	-4.22586105175009	5.56586724199729	1
"A1_328.C5F2"	-4.69093109564403	4.75643637890825	1
"A1_179.C5F2"	-4.15098088432852	-4.98702384973023	3
"A1_300.C5F2"	-1.83443022683035	0.837407408496437	1
"A1_362.C5F2"	3.86126024919008	-7.60590727959141	9
"A1_36.C5C3"	-16.3941572298891	-2.8836246461688	2
